scenario,algorithm,seed,total_regret,mean_regret,physical_probes,remote_substitutions,communication_bytes,bad_aggressive_decisions,aggressive_decisions,policy_switches,recovery_delay_1,recovery_delay_2,total_decision_ops,mean_decision_ops,information_gain,information_per_probe,information_per_regret,max_state_count
baseline_adversarial,ITAC_K_Full,15,15501.516562923067,3.4447814584273484,3443,215,22420,162,3194,675,2.0,0.0,50632,11.251555555555555,58.611779878361894,0.017023462061679318,0.0037810352064875435,19
baseline_adversarial,ITAC_K_LocalOnly,15,19577.539095913697,4.350564243536377,4404,0,8132,169,2863,646,18.0,0.0,53616,11.914666666666667,59.78628830541233,0.013575451477159928,0.0030538204016607564,19
baseline_adversarial,ITAC_K_GenericVoI_Local,15,19418.389822636367,4.315197738363637,4500,0,8132,168,2896,651,18.0,0.0,54000,12.0,57.49264309188937,0.012776142909308749,0.0029607317402223104,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,15,14758.471565767355,3.279660347948301,2666,670,55632,142,3164,570,2.0,0.0,49344,10.965333333333334,55.67396589864763,0.02088295795148073,0.0037723395441425513,19
baseline_adversarial,ITAC_K_NoKinematics,15,15501.516562923067,3.4447814584273484,3443,215,22420,162,3194,675,2.0,0.0,50632,11.251555555555555,58.611779878361894,0.017023462061679318,0.0037810352064875435,19
baseline_adversarial,ITAC_K_NoHysteresis,15,15924.325159914291,3.538738924425398,2687,242,25004,133,3051,541,1.0,0.0,47716,10.603555555555555,61.06953121969247,0.022727774923592285,0.0038349839384980984,19
baseline_adversarial,Greedy,16,28937.126827234733,6.430472628274385,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,16,29238.511564834538,6.497447014407675,40,0,0,10,1076,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,16,25962.942063671526,5.769542680815895,382,0,0,50,1669,446,81.0,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,16,25936.54578096576,5.763676840214614,243,0,0,30,1537,354,187.0,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,16,29676.72413542182,6.594827585649293,94,0,0,15,1078,172,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,16,20360.222036119798,4.5244937858044,3917,208,20748,187,2817,692,0.0,0.0,52500,11.666666666666666,52.04788909591246,0.013287691880498458,0.0025563517432952132,19
baseline_adversarial,ITAC_K_LocalOnly,16,22002.30002588606,4.889400005752457,4408,0,6156,195,2705,720,59.0,0.0,53632,11.918222222222223,54.66786693310836,0.012401966182647087,0.002484643281329258,19
baseline_adversarial,ITAC_K_GenericVoI_Local,16,22319.918293236173,4.959981842941372,4500,0,7068,194,2683,686,35.0,0.0,54000,12.0,55.17881109459079,0.012261958021020175,0.0024721780057462028,19
baseline_adversarial,ITAC_K_UnqualifiedRemote,16,16039.879827694498,3.5644177394876664,2697,698,56696,161,3089,605,2.0,0.0,49580,11.017777777777777,49.1063758581562,0.018207777477996366,0.0030615176912590705,19
baseline_adversarial,ITAC_K_NoKinematics,16,20360.222036119798,4.5244937858044,3917,208,20748,187,2817,692,0.0,0.0,52500,11.666666666666666,52.04788909591246,0.013287691880498458,0.0025563517432952132,19
baseline_adversarial,ITAC_K_NoHysteresis,16,19417.80725806625,4.315068279570277,3419,197,19988,160,2823,639,0.0,0.0,50464,11.214222222222222,52.5057183313584,0.015357039582146358,0.002703998326564256,19
baseline_adversarial,Greedy,17,28857.08286534796,6.412685081188435,0,0,0,10,1110,5,,,13500,3.0,0.0,0.0,0.0,23
baseline_adversarial,SPI_HCPI,17,29278.787287040166,6.506397174897815,40,0,0,10,1062,20,,,27000,6.0,0.0,0.0,0.0,23
baseline_adversarial,DualControl,17,27092.029124182038,6.020450916484897,394,0,0,50,1573,456,,0.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,ConstrainedBandit,17,30115.483634527765,6.692329696561726,231,0,0,30,1124,344,,152.0,40500,9.0,0.0,0.0,0.0,23
baseline_adversarial,GenericEIG,17,29597.64612627804,6.577254694728453,88,0,0,15,1081,165,,,54000,12.0,0.0,0.0,0.0,23
baseline_adversarial,ITAC_K_Full,17,18988.80798261203,4.219735107247118,3725,178,21508,182,2972,662,1.0,0.0,51612,11.469333333333333,60.304413105796854,0.016189104189475667,0.0031757871879592096,19
baseline_adversarial,ITAC_K_LocalOnly,17,20722.5660971415,4.605014688253667,4477,0,9576,188,2838,695,12.0,0.0,53908,11.979555555555555,61.77607199184363,0.01379854187890186,0.0029811014573318264,19
